OpeningPrice,HighPrice,LowPrice,ClosingPrice,TradingVolume,CloseTime,QAV,NumTrades,DateTime
1.5,1.799,0.5,1.7,649.12,1.50994E+12,725.12142,33,11/6/17 7:30 AM
1.3,1.65,1.3,1.6479,8147.72,1.50994E+12,12708.52742,139,11/6/17 8:30 AM
1.5457,1.5525,1.5455,1.5458,6628.2,1.50995E+12,10265.34109,27,11/6/17 9:30 AM
1.5458,1.681,1.5387,1.681,22767.9,1.50995E+12,36507.14442,133,11/6/17 10:30 AM
1.6809,1.6809,1.6,1.625,14938.73,1.50996E+12,24278.72621,58,11/6/17 11:30 AM
1.6011,1.6379,1.601,1.6378,5888.89,1.50996E+12,9472.108689,35,11/6/17 12:30 PM
1.602,1.6366,1.58,1.6366,6643.14,1.50996E+12,10604.91685,36,11/6/17 1:30 PM
1.601,1.6479,1.6,1.6479,4885.62,1.50997E+12,7965.708511,38,11/6/17 2:30 PM
1.6479,1.676,1.6288,1.6288,4324.77,1.50997E+12,7092.482233,38,11/6/17 3:30 PM
1.6288,1.6288,1.5803,1.5804,5834.38,1.50997E+12,9338.271223,41,11/6/17 4:30 PM
1.6,1.6,1.5804,1.6,489.15,1.50998E+12,780.077696,13,11/6/17 5:30 PM
1.5805,1.61,1.5645,1.61,9040.61,1.50998E+12,14262.12361,61,11/6/17 6:30 PM
1.6098,1.6148,1.5908,1.6148,6822.39,1.50998E+12,10971.73043,52,11/6/17 7:30 PM
1.6148,1.631,1.6148,1.6148,1957.74,1.50999E+12,3178.456262,28,11/6/17 8:30 PM
1.6108,1.627,1.57,1.5829,5646.76,1.50999E+12,8919.1867,47,11/6/17 9:30 PM
1.5868,1.6028,1.5645,1.5908,909.99,1.50999E+12,1436.330095,24,11/6/17 10:30 PM
1.6028,1.6028,1.571,1.5868,3255.32,1.51E+12,5125.794688,33,11/6/17 11:30 PM
1.5948,1.598,1.5763,1.5789,2629.14,1.51E+12,4190.992459,13,11/7/17 12:30 AM
1.5711,1.5868,1.556,1.571,1707.62,1.51001E+12,2665.184873,24,11/7/17 1:30 AM
1.5789,1.5868,1.55,1.5631,4534.05,1.51001E+12,7068.37399,23,11/7/17 2:30 AM
1.5553,1.577,1.5553,1.571,2914.1,1.51001E+12,4571.73668,22,11/7/17 3:30 AM
1.571,1.5948,1.545,1.571,3617.43,1.51002E+12,5647.155583,39,11/7/17 4:30 AM
1.5789,1.5789,1.5389,1.5389,3781.84,1.51002E+12,5845.058758,24,11/7/17 5:30 AM
1.5389,1.5389,1.5389,1.5389,0.72,1.51002E+12,1.108008,1,11/7/17 6:30 AM
1.58,1.6188,1.55,1.6188,957.27,1.51003E+12,1526.983043,13,11/7/17 7:30 AM
1.6184,1.6188,1.5548,1.5705,7268.47,1.51003E+12,11592.18092,49,11/7/17 8:30 AM
1.5705,1.602,1.5705,1.602,3914.23,1.51003E+12,6199.289946,24,11/7/17 9:30 AM
1.59,1.59,1.5705,1.5705,3046.71,1.51004E+12,4803.99057,11,11/7/17 10:30 AM
1.5705,1.5705,1.5705,1.5705,13.76,1.51004E+12,21.61008,1,11/7/17 11:30 AM
1.59,1.595,1.58,1.5949,371,1.51005E+12,589.425,14,11/7/17 12:30 PM
1.588,1.588,1.5548,1.5864,865.9,1.51005E+12,1365.117402,14,11/7/17 1:30 PM
1.5864,1.5864,1.565,1.5864,117.38,1.51005E+12,185.890846,6,11/7/17 2:30 PM
1.5864,1.6184,1.5705,1.5864,3226.54,1.51006E+12,5163.284126,25,11/7/17 3:30 PM
1.6183,1.6266,1.6,1.6103,6772.42,1.51006E+12,10949.88065,25,11/7/17 4:30 PM
1.6103,1.6103,1.5801,1.5942,1466.33,1.51006E+12,2337.292373,22,11/7/17 5:30 PM
1.6023,1.7,1.6023,1.6999,31475.45,1.51007E+12,52044.74182,150,11/7/17 6:30 PM
1.689,1.7885,1.689,1.7353,20789.1,1.51007E+12,36097.73564,151,11/7/17 7:30 PM
1.7191,1.7191,1.6593,1.7099,11302.08,1.51007E+12,19215.05679,65,11/7/17 8:30 PM
1.7099,1.799,1.7099,1.7704,20031.7,1.51008E+12,34698.97589,76,11/7/17 9:30 PM
1.7616,1.799,1.7288,1.799,3980.17,1.51008E+12,6975.629305,36,11/7/17 10:30 PM
1.799,1.799,1.799,1.799,55.4,1.51008E+12,99.6646,3,11/7/17 11:30 PM
1.79,1.7989,1.7634,1.7634,905.28,1.51009E+12,1605.220419,11,11/8/17 12:30 AM
1.7634,1.7634,1.7196,1.72,838.74,1.51009E+12,1460.310441,16,11/8/17 1:30 AM
1.7196,1.737,1.7196,1.737,959.82,1.5101E+12,1667.032324,8,11/8/17 2:30 AM
1.737,1.8,1.737,1.8,8371.99,1.5101E+12,14679.09643,67,11/8/17 3:30 AM
1.7901,1.9,1.7479,1.8718,11333.76,1.5101E+12,20581.10439,60,11/8/17 4:30 AM
1.8719,1.946,1.8,1.8013,21109.55,1.51011E+12,39518.52856,71,11/8/17 5:30 AM
1.8025,1.8999,1.77,1.8113,12618.94,1.51011E+12,22758.09895,66,11/8/17 6:30 AM
1.8,1.82,1.8,1.81,2411.3,1.51011E+12,4367.423,14,11/8/17 7:30 AM
1.8891,1.99,1.882,1.9,25161.05,1.51012E+12,48263.17425,113,11/8/17 8:30 AM
1.882,1.9498,1.838,1.87,8069.4,1.51012E+12,14993.2332,45,11/8/17 9:30 AM
1.8789,1.9486,1.8235,1.8513,6005.23,1.51012E+12,11325.85768,481,11/8/17 10:30 AM
1.8616,1.988,1.8616,1.8631,1740.94,1.51013E+12,3388.161253,26,11/8/17 11:30 AM
1.9448,1.9448,1.8763,1.8763,794.63,1.51013E+12,1496.816878,14,11/8/17 12:30 PM
1.8763,1.94,1.8757,1.935,5934.33,1.51014E+12,11283.01763,21,11/8/17 1:30 PM
1.935,1.935,1.8998,1.8998,2502.36,1.51014E+12,4754.728678,40,11/8/17 2:30 PM
1.8998,1.8999,1.8736,1.8736,5774.17,1.51014E+12,10870.70213,66,11/8/17 3:30 PM
1.87,1.8998,1.821,1.821,15802.86,1.51015E+12,29346.3879,81,11/8/17 4:30 PM
1.8211,1.8799,1.8211,1.8369,800.75,1.51015E+12,1474.057459,15,11/8/17 5:30 PM
1.8369,1.929,1.8368,1.8996,15267.67,1.51015E+12,28965.38888,97,11/8/17 6:30 PM
1.899,1.93,1.869,1.93,3106.43,1.51016E+12,5885.495391,39,11/8/17 7:30 PM
1.9249,1.9249,1.9234,1.9235,1542.13,1.51016E+12,2966.826914,23,11/8/17 8:30 PM
1.93,1.95,1.849,1.93,8905.22,1.51016E+12,17138.68658,137,11/8/17 9:30 PM
1.94,1.99,1.78,1.895,67528.43,1.51017E+12,128230.3777,191,11/8/17 10:30 PM
1.895,1.9734,1.87,1.95,20592.01,1.51017E+12,39780.6198,129,11/8/17 11:30 PM
1.91,1.99,1.9,1.95,30693.33,1.51017E+12,60059.66658,166,11/9/17 12:30 AM
