OpeningPrice,HighPrice,LowPrice,ClosingPrice,TradingVolume,CloseTime,QAV,NumTrades,DateTime
2.85000000,3.47000000,2.85000000,2.92240000,62101.63000000,1597132799999,186599.12492100,739,2020-08-11 03:59:59.999
2.96260000,3.00000000,2.85000000,2.85430000,50651.99000000,1597139999999,148730.24389600,439,2020-08-11 05:59:59.999
2.85660000,3.10000000,2.84330000,3.04970000,39160.47000000,1597147199999,114012.79155000,435,2020-08-11 07:59:59.999
3.04970000,3.32900000,2.86250000,3.27680000,369808.97000000,1597154399999,1150799.43447900,3096,2020-08-11 09:59:59.999
3.27870000,3.52080000,3.07440000,3.19000000,533065.97000000,1597161599999,1749585.92730100,4063,2020-08-11 11:59:59.999
3.17510000,3.38400000,3.11430000,3.29780000,172518.77000000,1597168799999,563700.94467300,1591,2020-08-11 13:59:59.999
3.30000000,3.30470000,3.15500000,3.18860000,81531.45000000,1597175999999,263053.66977500,733,2020-08-11 15:59:59.999
3.19380000,3.24950000,2.95000000,3.21840000,165454.77000000,1597183199999,510763.90204000,1403,2020-08-11 17:59:59.999
3.21280000,3.31910000,3.08000000,3.29850000,78090.76000000,1597190399999,251902.89947200,991,2020-08-11 19:59:59.999
3.29850000,3.32000000,3.08000000,3.23200000,134009.51000000,1597197599999,427813.17650000,1183,2020-08-11 21:59:59.999
3.23110000,3.30000000,3.11290000,3.28020000,92267.12000000,1597204799999,295635.41550800,913,2020-08-11 23:59:59.999
3.28020000,3.29530000,3.15000000,3.22960000,58148.94000000,1597211999999,186776.86072800,1046,2020-08-12 01:59:59.999
3.21920000,3.36610000,3.13230000,3.36610000,130295.99000000,1597219199999,421437.07072400,1481,2020-08-12 03:59:59.999
3.35770000,3.70000000,3.35000000,3.66690000,418390.58000000,1597226399999,1461785.07643100,3797,2020-08-12 05:59:59.999
3.66800000,3.92890000,3.50150000,3.68420000,376806.14000000,1597233599999,1413461.02446900,4813,2020-08-12 07:59:59.999
3.67330000,3.85540000,3.64340000,3.74500000,151701.13000000,1597240799999,566424.72515200,2006,2020-08-12 09:59:59.999
3.75730000,3.90000000,3.70000000,3.76780000,115840.84000000,1597247999999,437554.68247000,1659,2020-08-12 11:59:59.999
3.77040000,3.78890000,3.65000000,3.74460000,114116.84000000,1597255199999,423405.07057800,1395,2020-08-12 13:59:59.999
3.71950000,3.84230000,3.60000000,3.67880000,59394.66000000,1597262399999,220649.10681200,1196,2020-08-12 15:59:59.999
3.67880000,3.79400000,3.66520000,3.72070000,41194.31000000,1597269599999,153484.55334800,758,2020-08-12 17:59:59.999
3.72080000,3.82250000,3.67290000,3.75580000,44876.89000000,1597276799999,167726.96191800,871,2020-08-12 19:59:59.999
3.75000000,3.85120000,3.68860000,3.76010000,87716.47000000,1597283999999,330493.20977700,1092,2020-08-12 21:59:59.999
3.77290000,3.81280000,3.55370000,3.75930000,98486.66000000,1597291199999,364595.85139400,1498,2020-08-12 23:59:59.999
3.74040000,3.93640000,3.62430000,3.74580000,171890.78000000,1597298399999,652571.21125500,2890,2020-08-13 01:59:59.999
3.75470000,4.13870000,3.72490000,4.07850000,163136.73000000,1597305599999,649263.72254800,2233,2020-08-13 03:59:59.999
4.09460000,4.12220000,3.50030000,3.83870000,406480.36000000,1597312799999,1547153.05488900,4434,2020-08-13 05:59:59.999
